week_ended,call_money,notice_money,term_money,triparty_repo,market_repo,corp_bond_repo,7. Forex (US $ million),goi_dated_sec,state_govt_sec,t_bill_91d,t_bill_182d,t_bill_364d,cash_mgmt_bills,total_govt_sec,rbi_turnover,money_market_total,repo_total,t_bill_total,year
2025-09-26,31297.7033333333,656.083333333333,1038.16666666667,738792.366666667,681777.086666667,15960.0,140364.0,131047.316,7932.428,4180.384,1618.9,3422.756,0.0,148201.784,1618.58,32991.9533333333,1436529.453333334,9222.039999999999,2025
2025-09-19,34205.0,7384.0,1259.0,857666.28,811438.024,14021.0,125999.0,103508.136,9797.304,4842.332,2686.056,5020.332,0.0,125854.16,383.652,42848.0,1683125.304,12548.720000000001,2025
2025-09-12,31808.0,425.596,2350.0,681101.24,623329.496,11061.0,128636.0,181149.84,5944.415,8549.285,2859.25,2673.535,0.0,201176.325,1139.355,34583.596000000005,1315491.736,14082.07,2025
2025-09-05,20066.0,6430.0,966.666666666667,559054.283333333,510321.18,7895.0,103733.0,86539.308,5486.228,6080.404,2410.908,756.408,0.0,101273.256,365.6,27462.666666666668,1077270.463333333,9247.72,2025
2025-08-29,27549.315,9327.93,1359.5,880735.55,776483.6,12740.502,143071.0,113169.345,6970.82,4380.815,4324.24,2150.2,0.0,130995.42,1196.43,38236.744999999995,1669959.652,10855.255000000001,2025
2025-08-22,29136.7866,402.816666666667,1418.5,706895.15,664441.053333333,11864.52,113060.0,100673.74,8004.196,5889.292,3715.816,1172.812,0.0,119455.856,476.304,30958.103266666665,1383200.7233333332,10777.92,2025
2025-08-15,24392.13,7032.195,1270.5,803167.0,794301.27,11834.65,113818.0,122789.89,7151.955,5978.63,2460.5,2315.99,0.0,140696.965,1265.215,32694.825,1609302.92,10755.12,2025
2025-08-08,27990.703333,390.226666666667,1097.16666666667,659645.366666667,658871.053333333,12376.92,125078.0,116360.708,10038.792,5559.84,5293.5,2189.004,0.0,139441.844,666.092,29478.09666633334,1330893.3399999999,13042.344000000001,2025
2025-08-01,28873.94,7302.604,1850.6,802720.64,738402.632,10604.6,147435.0,96887.188,8303.012,5484.176,2866.6,3238.628,0.0,116779.604,690.972,38027.144,1551727.872,11589.404,2025
2025-07-25,29056.65667,380.09,1239.833333,682533.15,610006.94,9721.2,123941.0,82508.14,7952.476,4980.624,3470.168,2394.668,0.0,101306.076,627.256,30676.580003,1302261.2899999998,10845.46,2025
2025-07-18,28444.44,6323.408,1361.2,788485.62,750243.4,9722.2,127800.0,89891.284,8566.012,3983.588,4594.756,3923.34,0.0,110958.98,811.404,36129.047999999995,1548451.22,12501.684000000001,2025
2025-07-11,29963.19333,534.6966667,1679.333333,663801.8,633562.58,9481.0416,122259.0,82401.732,4754.72,4624.724,2507.748,2561.576,0.0,96850.5,175.656,32177.2233297,1306845.4216,9694.047999999999,2025
